property_id,price
d56159653f5d2abc5ed5acd7,606874944
45550aa81c0151f1fd9fd8fe,771636928
735deef3382aa15930482f3e,561728640
0dd49fa8bb7be52b851c6dc9,644854592
7d3220a91e78f8bc2924d1cd,516183968
d3054072b2175deec2c1f8dc,431725920
b7574b06d593fca4eac59815,423394048
79e822115c5c1a4531366001,455529088
d3ed5316a463d38c1bd321d0,1034215488
2f1880c9b8f7ac2715e1236d,851021376
dcca1c7f109175760ff531c6,617715840
dfc4f3facf91bbd93ee0fa4d,439670048
30e134a6cbe61d7954d0f56b,483079840
385fee7bd9ad7722d45dd034,402721536
87199c236bf22903d1aafdd0,409906976
19e19ad0cd6b5e84d8aa970e,392523488
907f968e78d748fde69dd44f,665160128
be094e5db0f784e3aa013aae,488794112
7ab96f83915bc84f8c03c1bd,371479616
07f4aa9b9ff5b0b05d31e6c0,937474496
e9be8cd37abed8ab510ba1f5,694770304
5f6ad58df27b562db077b5ce,605280384
ee96d947484aaace40f9b77f,686003712
15c4aef8401208054697b81e,836764416
22d6cb11333f2839b8112b89,1125417984
288c09c33907dadbae495c11,1342329344
f71d2bca0c5fe2720a1544c4,448742624
451744cf3ce55a98db8a3562,405602944
fba9ae05a6a8a9e0c6268a9f,394347040
1338e58f7dcebf5a1ea59388,399520672
a817e8da0ada143ac87277ee,401741856
46d8bb3e9a0ca584d3c7a317,448046880
b2506aa9463aebf01e1e00ca,438424096
7ec025b9b6e6f33bf65af41b,482741952
2ff531e27672ecd2362eed55,607136640
9b3cf0d1b91b9c6a2a887647,511390560
7db5291ce4602d9b2b266872,479954752
65d5918e826c33bb950fc008,570861440
395c34e4b8f52cbdb0522459,546336256
855f4b67d2bd6d18fd03d8e7,512849792
9ff06409b37e5b5dece4604a,559468480
0508cd7bd2c77ebb6fea1e56,476075232
b45fff2e718e54772d46a3fd,554611328
cf4d2297b73dbc357d21e31b,519799648
0ada7044c5b29925abc90879,568542592
6305f02255274ab5fb6bd39c,605808768
d9a94194ae1350512beff3e6,676618240
e3896296cb80d50d9ad3f903,728030464
6514f355887c64136edb5595,864319040
f03400cc18e12903b3ffbe5a,689765760
4e134600155a64783b3f8c3e,609662528
d63ebc63c82fbf66d8b6ffd3,672225728
1bd64811bd59706844230198,625188032
a83921284639eedd4a511cb6,740608320
a2f3f7a1cd573e2a33f52e2d,740976896
47344a66471fa51f61c64652,781122496
78fd849c9429091347d7e5c9,663673024
c3daf2abea55af99c9579319,681857024
52864916eb1984abca41ec66,910798656
c62494a9d7aede44f2f84023,934585728
a2b576643f7a032371587e5e,1151495040
e53bc68f0e97ccead24f3e56,570852352
fd82c710aad91bc90af490fe,641184960
d436abc2ee37ba3dd561e940,641184960
216a598114a403676011cb51,537792448
ea230d5eccd2b687888173bb,856397760
18bd0dd7580f2a7cb19a90b9,314183744
b143c8ca6d334f6a73c3f2a0,284609024
