property_id,price
d56159653f5d2abc5ed5acd7,728193931.515196
45550aa81c0151f1fd9fd8fe,728193931.515196
735deef3382aa15930482f3e,728193931.515196
0dd49fa8bb7be52b851c6dc9,728193931.515196
7d3220a91e78f8bc2924d1cd,728193931.515196
d3054072b2175deec2c1f8dc,557853447.287315
b7574b06d593fca4eac59815,557853447.287315
79e822115c5c1a4531366001,557853447.287315
d3ed5316a463d38c1bd321d0,728193931.515196
2f1880c9b8f7ac2715e1236d,728193931.515196
dcca1c7f109175760ff531c6,557853447.287315
dfc4f3facf91bbd93ee0fa4d,557853447.287315
30e134a6cbe61d7954d0f56b,557853447.287315
385fee7bd9ad7722d45dd034,728193931.515196
87199c236bf22903d1aafdd0,728193931.515196
19e19ad0cd6b5e84d8aa970e,557853447.287315
907f968e78d748fde69dd44f,557853447.287315
be094e5db0f784e3aa013aae,557853447.287315
7ab96f83915bc84f8c03c1bd,557853447.287315
07f4aa9b9ff5b0b05d31e6c0,728193931.515196
e9be8cd37abed8ab510ba1f5,728193931.515196
5f6ad58df27b562db077b5ce,557853447.287315
ee96d947484aaace40f9b77f,728193931.515196
15c4aef8401208054697b81e,951204881.908679
22d6cb11333f2839b8112b89,728193931.515196
288c09c33907dadbae495c11,728193931.515196
f71d2bca0c5fe2720a1544c4,728193931.515196
451744cf3ce55a98db8a3562,728193931.515196
fba9ae05a6a8a9e0c6268a9f,728193931.515196
1338e58f7dcebf5a1ea59388,728193931.515196
a817e8da0ada143ac87277ee,728193931.515196
46d8bb3e9a0ca584d3c7a317,728193931.515196
b2506aa9463aebf01e1e00ca,557853447.287315
7ec025b9b6e6f33bf65af41b,728193931.515196
2ff531e27672ecd2362eed55,728193931.515196
9b3cf0d1b91b9c6a2a887647,557853447.287315
7db5291ce4602d9b2b266872,557853447.287315
65d5918e826c33bb950fc008,557853447.287315
395c34e4b8f52cbdb0522459,728193931.515196
855f4b67d2bd6d18fd03d8e7,728193931.515196
9ff06409b37e5b5dece4604a,728193931.515196
0508cd7bd2c77ebb6fea1e56,728193931.515196
